catalog_series	catalog_number	field_series	field_number	genus	epithet	country	island	extract	date	source
KU	311131	CDS	3135	Cyrtodactylus	gubaot	Philippines	Leyte	False	2007-11-01	ku_gekkonid_tissues.txt
KU	305508	CWL	113	Cosymbotus	platyurus	Philippines	Cebu	False	2006-06-12	ku_gekkonid_tissues.txt
KU	305507	CWL	112	Cosymbotus	platyurus	Philippines	Cebu	False	2006-06-12	ku_gekkonid_tissues.txt
KU	305506	CWL	111	Cosymbotus	platyurus	Philippines	Cebu	False	2006-06-12	ku_gekkonid_tissues.txt
KU	305505	CWL	110	Cosymbotus	platyurus	Philippines	Cebu	False	2006-06-12	ku_gekkonid_tissues.txt
KU	330190	RMB	14955	Cyrtodactylus	philippinicus	Philippines	Luzon	False	2011-07-20	ku_gekkonid_tissues.txt
KU	330189	RMB	14954	Cyrtodactylus	philippinicus	Philippines	Luzon	False	2011-07-20	ku_gekkonid_tissues.txt
KU	305758	CWL	115	Hemidactylus	frenatus	Philippines	Cebu	False	2006-06-12	ku_gekkonid_tissues.txt
KU	305757	CWL	114	Hemidactylus	frenatus	Philippines	Cebu	False	2006-06-12	ku_gekkonid_tissues.txt
KU	329356	DSM	1646	Hemidactylus	frenatus	Philippines	Luzon	False	2011-05-27	ku_gekkonid_tissues.txt
		LSUHC	8691	Gekko	monarchus	Malaysia	Terengganu	True		gekkonid_lab_work.txt
KU	304672	RMB	5792	Cyrtodactylus	philippinicus	Philippines	Camiguin norte	False	2006-03-08	ku_gekkonid_tissues.txt
KU	304673	RMB	5793	Gekko	sp.	Philippines	Camiguin norte	False	2006-03-08	ku_gekkonid_tissues.txt
KU	304671	RMB	5791	Cyrtodactylus	philippinicus	Philippines	Camiguin norte	False	2006-03-07	ku_gekkonid_tissues.txt
KU	314807	RMB	9207	Cyrtodactylus	jambangan	Philippines	Mindanao	False	2008-07-09	ku_gekkonid_tissues.txt
		LSUHC	6946	Gekko	monarchus	Malaysia	Pahang	True		gekkonid_lab_work.txt
