catalog_series	catalog_number	field_series	field_number	genus	epithet	country	island	paic	locality	lat	long	tissue	extract	date	source
LSUHC	5364	LSUHC	5364	Cyrtodactylus	durio	Malaysia			Malaysia, Kedah, Sungai Sedim				False		LSUHC_geckos.txt
LSUHC	5366	LSUHC	5366	Cyrtodactylus	durio	Malaysia			Malaysia, Kedah, Sungai Sedim				False		LSUHC_geckos.txt
LSUHC	977	LSUHC	977	Cyrtodactylus	aurensis	Malaysia	Pulau Aur		Malaysia, Johor, Pulau Aur, Kampung Berhala				False		LSUHC_geckos.txt
LSUHC	5363	LSUHC	5363	Cyrtodactylus	durio	Malaysia			Malaysia, Kedah, Sungai Sedim				False		LSUHC_geckos.txt
LSUHC	5362	LSUHC	5362	Cyrtodactylus	durio	Malaysia			Malaysia, Kedah, Sungai Sedim				False		LSUHC_geckos.txt
LSUHC	978	LSUHC	978	Cyrtodactylus	aurensis	Malaysia	Pulau Aur		Malaysia, Johor, Pulau Aur, Kampung Berhala				False		LSUHC_geckos.txt
LSUHC	979	LSUHC	979	Cyrtodactylus	aurensis	Malaysia	Pulau Aur		Malaysia, Johor, Pulau Aur, Kampung Berhala				False		LSUHC_geckos.txt
LSUHC	5345	LSUHC	5345	Cyrtodactylus	pulchellus	Malaysia	Pulau Pinang		Malaysia, Penang, Pulau Pinang, Botanical Gardens				False		LSUHC_geckos.txt
LSUHC	4478	LSUHC	4478	Cyrtodactylus	pantiensis	West Malaysia			West Malaysia, Johor, Bunker Trail				False		LSUHC_geckos.txt
LSUHC	4479	LSUHC	4479	Cyrtodactylus	pantiensis	West Malaysia			West Malaysia, Johor, Bunker Trail				False		LSUHC_geckos.txt
LSUHC	4779	LSUHC	4779	Cyrtodactylus	quadrivirgatus	West Malaysia			West Malaysia, Perak, Bukit Larut				False		LSUHC_geckos.txt
LSUHC	6009	LSUHC	6009	Ptychozoon	kuhli	West Malaysia			West Malaysia, Terengganu, Hutan Lipur Sekayo				False		LSUHC_geckos.txt
LSUHC	6008	LSUHC	6008	Ptychozoon	kuhli	West Malaysia			West Malaysia, Terengganu, Hutan Lipur Sekayo				False		LSUHC_geckos.txt
LSUHC	4549	LSUHC	4549	Ptychozoon	lionotum	West Malaysia	Pulau Perhentian Besar		West Malaysia, Terengganu, Pulau Perhentian Besar				False		LSUHC_geckos.txt
LSUHC	3326	LSUHC	3326	Cyrtodactylus	condorensis	Vietnam	Con Dao		Vietnam, Con Dao Islands, Con Son Island				False		LSUHC_geckos.txt
LSUHC	265	LSUHC	265	Cyrtodactylus	aurensis	Malaysia	Pulau Aur		Malaysia, Johor, Pulau Aur				False		LSUHC_geckos.txt
LSUHC	3325	LSUHC	3325	Cyrtodactylus	condorensis	Vietnam	Con Dao		Vietnam, Con Dao Islands, Con Son Island				False		LSUHC_geckos.txt
LSUHC	5632	LSUHC	5632	Cyrtodactylus	tiomanensis	West Malaysia	Pulau Tioman		West Malaysia, Pahang, Pulau Tioman				False		LSUHC_geckos.txt
LSUHC	5358	LSUHC	5358	Cyrtodactylus	pulchellus	Malaysia			Malaysia, Perak, Bukit Larut				False		LSUHC_geckos.txt
LSUHC	5194	LSUHC	5194	Cyrtodactylus	pulchellus	West Malaysia	Pulau Langkawi		West Malaysia, Kedah, Pulau Langkawi, Wat Wanraram				False		LSUHC_geckos.txt
LSUHC	5152	LSUHC	5152	Ptychozoon	kuhli	West Malaysia	Pulau Perhentian Besar		West Malaysia, Terengganu, Pulau Perhentian Besar				False		LSUHC_geckos.txt
LSUHC	5758	LSUHC	5758	Cyrtodactylus	pulchellus	West Malaysia	Pulau Pinang		West Malaysia, Penang, Pulau Pinang, Air Terjun Kadawang				False		LSUHC_geckos.txt
LSUHC	4020	LSUHC	4020	Cyrtodactylus	sp.	Cambodia			Cambodia, Kampot Prov., Phnom Laang			D-59-LOOSE	False		LSUHC_geckos.txt
LSUHC	4465	LSUHC	4465	Cyrtodactylus	consobrinus	West Malaysia			West Malaysia, Johor, Bunker Trail				False		LSUHC_geckos.txt
LSUHC	4464	LSUHC	4464	Cyrtodactylus	consobrinus	West Malaysia			West Malaysia, Johor, Bunker Trail				False		LSUHC_geckos.txt
LSUHC	4467	LSUHC	4467	Cyrtodactylus	consobrinus	West Malaysia			West Malaysia, Johor, Bunker Trail				False		LSUHC_geckos.txt
LSUHC	4466	LSUHC	4466	Cyrtodactylus	consobrinus	West Malaysia			West Malaysia, Johor, Bunker Trail				False		LSUHC_geckos.txt
LSUHC	1516	LSUHC	1516	Cyrtodactylus	seribuatensis	Malaysia	Pulau Mentigi		Malaysia, Johor, Pulau Mentigi				False		LSUHC_geckos.txt
