box	cell	catalog_series	catalog_number	field_series	field_number	genus	epithet	country	island	paic	locality	lat	long	tissue	cam_extract	date	source
125	67	KU	305570	CWL	90	Cyrtodactylus	annulatus	Philippines	Cebu	Visayan	Cebu Province; Municipality of Alcoy; Barangay Nug-as, CBCF field station	9.7120500	123.4430300	I-125-67	False	2006-06-11	ku_freezer.txt/ku_gekkonid_tissues.txt
111	H3	KU	304848	RMB	5969	Gekko	crombota	Philippines	Babuyan Claro	Babuyan Island Group	Cagayan Province; Municipality of Calayan; Barangay Babuyan Claro			H-111-H3	False	2006-03-14	ku_freezer.txt/ku_gekkonid_tissues.txt
111	H2	KU	304847	RMB	5968	Gekko	crombota	Philippines	Babuyan Claro	Babuyan Island Group	Cagayan Province; Municipality of Calayan; Barangay Babuyan Claro			H-111-H2	False	2006-03-14	ku_freezer.txt/ku_gekkonid_tissues.txt
318	G1	KU	319653	RMB	11302	Cyrtodactylus	annulatus	Philippines	Mindanao	Mindanao	Zamboanga City "Province"; Municipality of Pasonanca; Pasonanca Natural Park, Barangay La Paz, Sitio Nancy	7.0850000	122.0270000	V-318-G1	False	2009-04-05	ku_freezer.txt/ku_gekkonid_tissues.txt
318	G8	KU	319659	RMB	11309	Cyrtodactylus	annulatus	Philippines	Mindanao	Mindanao	Zamboanga City "Province"; Municipality of Pasonanca; Pasonanca Natural Park, Barangay La Paz, Sitio Nancy	7.0850000	122.0270000	V-318-G8	False	2009-04-05	ku_gekkonid_tissues.txt
150	H3	KU	307065	RMB	6479	Gekko	mindorensis	Philippines	Panay	Visayan	Antique Province; Municipality of San Remigio; Barangay Aningalan	10.8088000	122.1013000	K-150-H3	False	2006-10-06	ku_freezer.txt/ku_gekkonid_tissues.txt
382	B8	KU	328816	RMB	13769	Gekko	gecko	Philippines	Luzon	Luzon	Albay Province; Municipality of Malinao; Barangay Tanawan	13.4053400	123.6768300	Z-382-B8	False	2011-01-08	ku_freezer.txt/ku_gekkonid_tissues.txt
382	B7	KU	328815	RMB	13768	Gekko	gecko	Philippines	Luzon	Luzon	Albay Province; Municipality of Malinao; Barangay Tanawan	13.4053400	123.6768300	Z-382-B7	False	2011-01-08	ku_freezer.txt/ku_gekkonid_tissues.txt
382	B2	KU	328811	RMB	13763	Gekko	gecko	Philippines	Luzon	Luzon	Albay Province; Municipality of Malinao; Barangay Tanawan	13.4053400	123.6768300	Z-382-B2	False	2011-01-08	ku_freezer.txt/ku_gekkonid_tissues.txt
61	7	KU	302639	CDS	173	Cyrtodactylus	philippinicus	Philippines	Panay	Visayan	Antique Province; Municipality of Pandan; Barangay Duyong	11.7609167	122.0411833	E-61-7	False	2000-10-16	ku_freezer.txt/ku_gekkonid_tissues.txt
