catalog_series	catalog_number	field_series	field_number	genus	epithet	country	island	paic	locality	lat	long	tissue	cam_extract	cam_extract_cell	date	source
LSUHC	2607	LSUHC	2607	Cyrtodactylus	quadrivirgatus	Malaysia			Malaysia, Pahang, Fraser's Hill				False			LSUHC_geckos.txt
KU	304847	RMB	5968	Gekko	crombota	Philippines	Babuyan Claro	Babuyan Island Group	Cagayan Province; Municipality of Calayan; Barangay Babuyan Claro			H-111-H2	False		2006-03-14	ku_freezer.txt/ku_gekkonid_tissues.txt
LSUHC	4780	LSUHC	4780	Cyrtodactylus	pulchellus	West Malaysia			West Malaysia, Perak, Bukit Larut				False			LSUHC_geckos.txt
LSUHC	3418	LSUHC	3418	Cyrtodactylus	chuyangsinensis	Vietnam			Vietnam, Chu Yang Sin National Park				False			LSUHC_geckos.txt
		RMB	7644	Cyrtodactylus	annulatus	Philippines	Palawan		Mainit			M-189-H5	False			ku_freezer.txt
LSUHC	4695	LSUHC	4695	Cyrtodactylus	pulchellus	West Malaysia	Pulau Langkawi		West Malaysia, Kedah, Pulau Langkawi				False			LSUHC_geckos.txt
LSUHC	6008	LSUHC	6008	Ptychozoon	kuhli	West Malaysia			West Malaysia, Terengganu, Hutan Lipur Sekayo				False			LSUHC_geckos.txt
KU	319657	RMB	11591	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao	Zamboanga City "Province"; Municipality of Pasonanca; Pasonanca Natural Park, Barangay Tulosa, Sitio Santa Clara, Cabo Negro Outpost	7.1080000	122.1190000	V-322-C5	False		2009-04-08	ku_freezer.txt/ku_gekkonid_tissues.txt
LSUHC	2964	LSUHC	2964	Cyrtodactylus	condorensis	Vietnam	Con Son		Vietnam, Ba Ria Vung Tau, Con Dao, Con Son Island				False			LSUHC_geckos.txt
KU	326520	RMB	8931	Cyrtodactylus	gubaot	Philippines	Leyte	Mindanao	Leyte Province; Municipality of Baybay; Visayas State University Campus	10.7451667	124.8042833	R-263-H1	False		2008-04-16	ku_freezer.txt/ku_gekkonid_tissues.txt
