field_series	field_number	genus	epithet	country	island	paic
RMB	13855	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	13856	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	13860	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
CDS	5880	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
CDS	5823	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
CDS	5822	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
CDS	5824	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
CDS	5727	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
CDS	5724	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
CDS	5686	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
CDS	5627	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
CDS	5584	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
CDS	5582	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
CDS	5583	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
CDS	5580	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
CDS	5581	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
CDS	5544	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	13670	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	13669	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	13719	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	13713	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	13721	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	13720	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	13664	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	13653	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	13652	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	13651	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	13654	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	13571	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	13510	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
